,GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER,MP,VISITOR_FG,VISITOR_FGA,VISITOR_FG%,VISITOR_3P,VISITOR_3PA,VISITOR_3P%,VISITOR_FT,VISITOR_FTA,VISITOR_FT%,VISITOR_ORB,VISITOR_DRB,VISITOR_TRB,VISITOR_AST,VISITOR_STL,VISITOR_BLK,VISITOR_TOV,VISITOR_PF,VISITOR_PTS,VISITOR_PLUS_MIN,MP2,VISITOR_TS%,VISITOR_eFG%,VISITOR_3PAr,VISITOR_FTr,VISITOR_ORB%,VISITOR_DRB%,VISITOR_TRB%,VISITOR_AST%,VISITOR_STL%,VISITOR_BLK%,VISITOR_TOV%,VISITOR_USG%,VISITOR_ORtg,VISITOR_DRtg,MP3,HOME_FG,HOME_FGA,HOME_FG%,HOME_3P,HOME_3PA,HOME_3P%,HOME_FT,HOME_FTA,HOME_FT%,HOME_ORB,HOME_DRB,HOME_TRB,HOME_AST,HOME_STL,HOME_BLK,HOME_TOV,HOME_PF,HOME_PTS,HOME_PLUS_MIN,MP4,HOME_TS%,HOME_eFG%,HOME_3PAr,HOME_FTr,HOME_ORB%,HOME_DRB%,HOME_TRB%,HOME_AST%,HOME_STL%,HOME_BLK%,HOME_TOV%,HOME_USG%,HOME_ORtg,HOME_DRtg,MIN_LINE,MAX_LINE,AVERAGE_LINE
0,200611010BOS,2007,Wed,11,1,2006,7:30 pm,New Orleans,91,Boston,87,,,240,36,84,0.429,1,11,0.091,18,33,0.545,10,36,46,17,6,4,15,31,91,,240,0.462,0.435,0.131,0.39299999999999996,19.2,78.3,46.9,47.2,6.0,6.8,13.2,100.0,90.3,86.4,240,30,75,0.4,3,16,0.188,24,39,0.615,10,42,52,18,5,6,19,31,87,,240,0.47200000000000003,0.42,0.213,0.52,21.7,80.8,53.1,60.0,5.0,8.2,17.1,100.0,86.4,90.3,195.5,198.5,197.5
1,200611010CHA,2007,Wed,11,1,2006,7:00 pm,Indiana,106,Charlotte,99,,,240,35,86,0.40700000000000003,6,16,0.375,30,41,0.732,18,32,50,26,14,5,17,26,106,,240,0.509,0.442,0.18600000000000003,0.47700000000000004,34.0,74.4,52.1,74.3,13.8,7.4,14.0,100.0,104.7,97.8,240,37,78,0.474,4,10,0.4,21,32,0.6559999999999999,11,35,46,23,8,7,22,29,99,,240,0.5379999999999999,0.5,0.128,0.41,25.6,66.0,47.9,62.2,7.9,10.0,19.3,100.0,97.8,104.7,192.5,193.5,193.4333333333333
2,200611010CLE,2007,Wed,11,1,2006,8:00 pm,Washington,94,Cleveland,97,,,240,36,77,0.46799999999999997,2,13,0.154,20,29,0.69,9,24,33,22,7,4,11,26,94,,240,0.524,0.48100000000000004,0.16899999999999998,0.377,20.9,60.0,39.8,61.1,7.8,6.8,10.9,100.0,105.1,108.5,240,37,78,0.474,8,19,0.42100000000000004,15,30,0.5,16,34,50,24,4,4,16,25,97,,240,0.532,0.526,0.244,0.385,40.0,79.1,60.2,64.9,4.5,6.3,14.9,100.0,108.5,105.1,194.5,194.5,194.5
3,200611010DET,2007,Wed,11,1,2006,8:00 pm,Milwaukee,105,Detroit,97,,,240,43,93,0.462,2,14,0.14300000000000002,17,25,0.68,11,27,38,26,12,0,8,25,105,,240,0.505,0.473,0.151,0.26899999999999996,23.9,67.5,44.2,60.5,12.5,0.0,7.1,100.0,109.6,101.3,240,31,72,0.431,8,21,0.381,27,34,0.794,13,35,48,19,3,9,22,23,97,,240,0.5579999999999999,0.486,0.292,0.47200000000000003,32.5,76.1,55.8,61.3,3.1,11.4,20.2,100.0,101.3,109.6,189.5,194.5,194.16666666666663
4,200611010GSW,2007,Wed,11,1,2006,7:30 pm,L.A. Lakers,110,Golden State,98,,,240,39,86,0.45299999999999996,5,17,0.294,27,41,0.659,19,36,55,29,6,4,16,30,110,,240,0.529,0.483,0.198,0.47700000000000004,35.8,75.0,54.5,74.4,6.1,6.3,13.3,100.0,112.1,99.8,240,34,82,0.415,3,19,0.158,27,42,0.643,12,34,46,18,6,4,10,31,98,,240,0.488,0.433,0.23199999999999998,0.512,25.0,64.2,45.5,52.9,6.1,5.8,9.1,100.0,99.8,112.1,199.5,205.5,204.56666666666663
5,200611010MEM,2007,Wed,11,1,2006,7:00 pm,New York,118,Memphis,117,3OT,,315,40,95,0.42100000000000004,10,22,0.455,28,36,0.778,18,38,56,22,6,7,23,42,118,,315,0.532,0.474,0.23199999999999998,0.379,34.0,62.3,49.1,55.0,5.4,8.3,17.2,100.0,105.8,104.9,315,42,105,0.4,6,21,0.28600000000000003,27,45,0.6,23,35,58,14,6,8,13,32,117,,315,0.469,0.429,0.2,0.429,37.7,66.0,50.9,33.3,5.4,11.0,9.4,100.0,104.9,105.8,184.5,196.5,195.03333333333333
6,200611010MIN,2007,Wed,11,1,2006,7:00 pm,Sacramento,83,Minnesota,92,,,240,31,89,0.348,3,15,0.2,18,25,0.72,22,29,51,13,10,2,18,21,83,,240,0.415,0.365,0.16899999999999998,0.281,40.7,82.9,57.3,41.9,10.9,3.2,15.3,100.0,90.3,100.0,240,35,72,0.486,4,9,0.444,18,20,0.9,6,32,38,19,7,7,19,26,92,,240,0.569,0.514,0.125,0.278,17.1,59.3,42.7,54.3,7.6,9.5,19.0,100.0,100.0,90.3,184.5,187.5,185.1
7,200611010NJN,2007,Wed,11,1,2006,7:30 pm,Toronto,92,Brooklyn,102,,,240,37,94,0.39399999999999996,4,20,0.2,14,20,0.7,7,31,38,21,8,5,15,27,92,,240,0.447,0.415,0.213,0.213,14.0,77.5,42.2,56.8,7.6,8.3,12.7,100.0,87.7,97.2,240,40,78,0.513,3,18,0.16699999999999998,19,24,0.792,9,43,52,28,2,5,23,26,102,,240,0.5760000000000001,0.532,0.231,0.308,22.5,86.0,57.8,70.0,1.9,6.8,20.6,100.0,97.2,87.7,195.5,202.5,201.36666666666667
8,200611010ORL,2007,Wed,11,1,2006,7:00 pm,Chicago,94,Orlando,109,,,240,37,82,0.451,6,20,0.3,14,24,0.583,11,16,27,21,7,0,15,31,94,,240,0.508,0.488,0.244,0.293,26.8,72.7,42.9,56.8,7.5,0.0,13.9,100.0,101.4,117.5,240,35,59,0.593,6,8,0.75,33,42,0.7859999999999999,6,30,36,21,7,7,23,23,109,,240,0.703,0.644,0.136,0.7120000000000001,27.3,73.2,57.1,60.0,7.5,11.3,22.9,100.0,117.5,101.4,183.5,187.5,183.76666666666668
9,200611010PHI,2007,Wed,11,1,2006,7:00 pm,Atlanta,75,Philadelphia,88,,,240,26,78,0.33299999999999996,4,17,0.235,19,22,0.8640000000000001,17,25,42,11,9,4,18,24,75,,240,0.428,0.359,0.218,0.282,34.7,62.5,47.2,42.3,10.7,6.2,17.0,100.0,89.2,104.6,240,31,74,0.419,3,9,0.33299999999999996,23,25,0.92,15,32,47,19,10,6,16,22,88,,240,0.518,0.439,0.122,0.33799999999999997,37.5,65.3,52.8,61.3,11.9,9.8,15.8,100.0,104.6,89.2,198.5,199.5,198.9
